protein,rank
AAK1_HUMAN,0.00024660381923252093
VPS52_HUMAN,0.00019238353744133784
STON2_HUMAN,0.0002521724108801931
FZD4_HUMAN,0.0002359305837584929
CD3D_HUMAN,0.00026315059317501727
ACM2_HUMAN,0.00023307139050838835
HIP1_HUMAN,0.0002461704799568596
PACN3_HUMAN,0.00024243410611806163
EPN2_HUMAN,0.00030061665596676525
VAMP4_HUMAN,0.0002480565165118636
EGF_HUMAN,0.0004243294316824764
ARP3_HUMAN,0.00024748729198736805
K0319_HUMAN,0.00023978092258579542
SH3G1_HUMAN,0.0002509255612276413
ARP2_HUMAN,0.0003168628571192251
SNAA_HUMAN,0.0003013533632078318
SGIP1_HUMAN,0.00025080965922185614
AP180_HUMAN,0.00024611507667679776
SH3G3_HUMAN,0.00024915881031027654
ARRB2_HUMAN,0.00034517715807420895
GAPD1_HUMAN,0.00024026994132859492
RS27A_HUMAN,0.00034386498795893877
GTR8_HUMAN,0.00024694228906183534
ARRB1_HUMAN,0.00036234412528354625
ARPC2_HUMAN,0.0002506155553975991
HSP7C_HUMAN,0.0004162889193425382
TXND5_HUMAN,0.00042516595684511554
DYN1_HUMAN,0.0002725346506854417
RAB9A_HUMAN,0.00019285400969510966
DNS2A_HUMAN,0.00021196123824878698
AGFG1_HUMAN,0.00024391165429028298
VAMP2_HUMAN,0.00029096307990905554
PLIN3_HUMAN,0.00014529511112267935
PGRC1_HUMAN,0.0002237318879495677
FCHO2_HUMAN,0.00023995026175472107
CLCB_HUMAN,0.0002540736403892918
TGON2_HUMAN,0.000315247456683668
AP1M1_HUMAN,0.0002803438747209919
H0YCD9_HUMAN,0.0002476285693247427
NECP2_HUMAN,0.00025096872235157305
PACN2_HUMAN,0.0002406279301333605
AP1S3_HUMAN,0.00035697221792310767
ARPC4_HUMAN,0.0002486964627913565
ARPC3_HUMAN,0.0002534299149324657
CLH2_HUMAN,0.0002512574097889138
SCRB2_HUMAN,0.00024765400655510025
AUXI_HUMAN,0.0003371340989078853
AGTR1_HUMAN,0.0003376132487579083
FKBP4_HUMAN,0.00041437593769548395
MCR_HUMAN,0.00041236083301560367
NRIP1_HUMAN,0.0002689004807997708
HSF1_HUMAN,0.0005339025959747584
GCR_HUMAN,0.0005615999196562759
S10A1_HUMAN,0.00018994035405772337
AHSA1_HUMAN,0.0004610686248645911
PPP5_HUMAN,0.0003067857515098056
ESR1_HUMAN,0.0003866279092282855
GLMN_HUMAN,0.00032296849288320005
GATA3_HUMAN,0.0003085955508454905
PHLP1_HUMAN,0.0001690028297493642
FKBP5_HUMAN,0.00026935707817988343
HS71A_HUMAN,0.0004027029191636921
PPID_HUMAN,0.0004687367194199043
HSP72_HUMAN,0.0003236971386037121
MK01_HUMAN,0.00047793556385492003
TEBP_HUMAN,0.0004436657014060475
ATOX1_HUMAN,0.00012977174992299137
TLE3_HUMAN,0.00023295753423247786
HSP74_HUMAN,0.000565281996101375
HS90A_HUMAN,0.0004979304272772535
HS90B_HUMAN,0.0005006115332176116
NCOA3_HUMAN,0.00030893539449040566
STIP1_HUMAN,0.0005346837772228935
MTOR_HUMAN,0.0004540941558393855
EP300_HUMAN,0.00035021429930837805
FOXA1_HUMAN,0.00029194003014967114
HS71L_HUMAN,0.0004203687265369257
ESR2_HUMAN,0.00026358896158115285
AKT1_HUMAN,0.0004456711012845302
PAHX_HUMAN,0.0001552368758875324
PRGR_HUMAN,0.00037112327295370603
MK03_HUMAN,0.0004989757371342789
ANDR_HUMAN,0.00042459574562166277
CLCA1_HUMAN,7.987155062080193e-05
CP26B_HUMAN,0.00012214039089877363
CP3A4_HUMAN,0.00016107972317358436
SYRC_HUMAN,0.0006077668523936856
CP2S1_HUMAN,0.00011527579540580043
CP26A_HUMAN,0.00010837226255757567
CP2A6_HUMAN,0.000134707353651121
CP3A5_HUMAN,0.0001496577877775442
CP2C9_HUMAN,0.0005808827204808998
CP2B6_HUMAN,0.00022141699715810237
STRA8_HUMAN,9.009401598801019e-05
AL1A2_HUMAN,9.882963326205607e-05
CP1A2_HUMAN,0.00014520305771834876
AL1A3_HUMAN,8.14793720355842e-05
AOXA_HUMAN,0.00011233422429051383
CP1A1_HUMAN,0.0001573770368335447
CP3A7_HUMAN,0.0001269399339497762
AL1A1_HUMAN,0.00012767404146456313
CP2C8_HUMAN,0.00024302633530799342
NANO2_HUMAN,0.0001285096311405112
CP2CI_HUMAN,0.00012060337952731195
CP26C_HUMAN,0.00010709590146965778
RABP1_HUMAN,4.493185982730817e-05
CP4AB_HUMAN,0.0002452345933472583
NDUF7_HUMAN,0.00017253233989412818
NDUA1_HUMAN,0.00020039164579562784
NU1M_HUMAN,0.00024744371744112736
NDUA7_HUMAN,0.00020451962594908628
ETKMT_HUMAN,6.926568031321259e-05
NDUS5_HUMAN,0.00022380596385844574
NDUB7_HUMAN,0.0002480242648129851
NDUAA_HUMAN,0.0001967794892853476
ECSIT_HUMAN,0.00018049562807514558
NDUS7_HUMAN,0.00020577768541812631
NDUA5_HUMAN,0.00020571927723006243
NDUS2_HUMAN,0.00019656442722625365
NDUS3_HUMAN,0.0002041951920691017
NDUAC_HUMAN,0.0002190467063928319
NDUA8_HUMAN,0.00020713269635901012
NU4M_HUMAN,0.000242897970064811
NDUAD_HUMAN,0.00020246701511484653
NDUA3_HUMAN,0.00019112134137078867
NDUS8_HUMAN,0.00023942211736941116
NU2M_HUMAN,0.0002449257560987937
NDUB6_HUMAN,0.000199037957631402
NDUS1_HUMAN,0.00023209470582131846
NDUV2_HUMAN,0.0002030551540871856
NDUB9_HUMAN,0.00020820568899797018
NDUF2_HUMAN,0.00017537936059623208
NU5M_HUMAN,0.0002463339933099464
NDUC1_HUMAN,0.0001882340505425355
NDUS4_HUMAN,0.00020916478814093808
NDUA9_HUMAN,0.0002098309420697157
NDUB2_HUMAN,0.0001991504375922567
NDUB4_HUMAN,0.00019470688417133242
NDUB1_HUMAN,0.00019516828562088248
FXRD1_HUMAN,0.00018014071810357993
NDUV3_HUMAN,0.00018651390616397875
NDUB8_HUMAN,0.0003259605258475823
NDUBB_HUMAN,0.00019016629261211487
NDUA2_HUMAN,0.00019993647969284133
NUBPL_HUMAN,0.00012769680446974774
NDUB5_HUMAN,0.00020583642999480318
NDUF6_HUMAN,0.0001738577255186065
TIDC1_HUMAN,0.0001741545609746888
EFMT2_HUMAN,0.00022457512657015767
NDUBA_HUMAN,0.00019913532771251955
NDUF3_HUMAN,0.0001883314999796449
